id,rf,cenario,passo_a_passo,dados_usados,executor,data,resultado_observado,evidencia
E01,RF4,Cadastro/listagem/(des)ativacao de turmas,Rodar php artisan db:seed --class=JicopaPlanilhasSeeder | abrir /admin/turmas como admin | conferir as 13 turmas (A/B1/B2/C/D/E/GR x Matutino/Vespertino) | desativar uma turma e reativar via /admin/turmas/{turma}/restore,JicopaPlanilhasSeeder (13 turmas),autor,2026-04-20,13 turmas listadas com periodo correto; (des)ativacao refletida na interface,registro narrativo + saida do seeder
E02,RF5,Cadastro manual de categorias de idade,Abrir /admin/categorias como admin | criar Mirim/Infantil/Juvenil/etc. | salvar e conferir listagem | usar categoria no cadastro de aluno,Dados ficticios alinhados ao TCC II,autor,2026-03 a 2026-04,Categorias persistidas e disponiveis para vinculo em alunos e jogos,registro narrativo
E03,RF6,Catalogo de esportes via seeder + ajuste,Rodar php artisan db:seed --class=JicopaPlanilhasSeeder | abrir /admin/esportes como admin | conferir 6 coletivos (Futebol/Futsal/Queimada/Rouba Bandeira/Basquete/Volei) e 2 individuais (Taekwondo/Ginastica),JicopaPlanilhasSeeder (8 esportes),autor,2026-04-20,8 esportes classificados corretamente como coletivo ou individual,registro narrativo + saida do seeder
E04,RF7,Cadastro de alunos com vinculo a turma + esportes,Rodar php artisan db:seed --class=JicopaPlanilhasSeeder | abrir /admin/alunos como admin | abrir ALLAN ALVES RIBEIRO e conferir 7 esportes vinculados | abrir aluno sem esportes (ex: Ana Beatriz Alves De Souza) e validar campo vazio,JicopaPlanilhasSeeder (19 alunos),autor,2026-04-20,19 alunos persistidos com vinculo de turma correto e lista de esportes coerente; reexecucao do seeder duplica linhas (limitacao registrada no CLAUDE.md),registro narrativo + saida do seeder
E05,RF8,Visualizacao do calendario de jogos,Cadastrar 2-3 jogos manualmente via /admin/jogos | abrir /calendario como professor | conferir data/horario/turmas/esporte de cada partida,Jogos ficticios cadastrados pelo autor,autor,2026-03 a 2026-04,Calendario renderiza partidas com agrupamento por data,Figura 4.4 do TCC II (prototipo-RF08-calendario.png)
E06,RF9,Deteccao de conflito de horario,Cadastrar jogo A as 14h00 com Turma A | tentar cadastrar jogo B as 14h00 com Turma A | sistema bloqueia com mensagem de conflito tanto no client (TypeScript) quanto no servidor (PHP/Laravel),Dados ficticios,autor,2026-03 a 2026-04,Validacao dispara em duas camadas conforme documentado em §4 da rodada 1 (artigo/capitulos/04-resultados.md:362),registro narrativo
E07,RF10,Registro de presenca em jogo coletivo e individual,Abrir jogo de Futebol | marcar presenca por turma (formulario coletivo) | abrir jogo de Taekwondo | marcar presenca por atleta individual (formulario adaptativo),Seeder + jogos manuais,autor,2026-03 a 2026-04,Formulario adapta-se ao tipo de esporte (coletivo: lista por turma; individual: lista por atleta),registro narrativo
E08,RF11,Registro de placar de jogo coletivo,Abrir jogo de Futebol via /jogos/{id}/resultado | preencher placar (ex: 3x2) | salvar | conferir que sistema infere vitoria/empate/derrota,Dados ficticios,autor,2026-03 a 2026-04,Resultado refletido no ranking e na sumula do jogo,Figura 4.5 do TCC II (prototipo-RF11-resultado-coletivo.png)
E09,RF12,Registro de resultado de jogo individual,Abrir jogo de Taekwondo via /jogos/{id}/resultado | preencher posicao final de cada atleta | salvar,Dados ficticios,autor,2026-03 a 2026-04,Posicoes registradas com pontuacao por colocacao,Figura 4.6 do TCC II (prototipo-RF12-resultado-individual.png)
E10,RF13,Aplicacao de penalidade a turma,Abrir /penalidades | criar nova penalidade selecionando Turma A + motivo + valor a descontar | salvar | conferir que pontuacao da turma reduziu no ranking,Dados ficticios,autor,2026-03 a 2026-04,Ranking atualizado com a penalidade aplicada,registro narrativo
